Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 31 Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
Except Gold Loans (zero OD) all other Loans have monthly repayment frequency,,0,-2.5011104298755527e-12,-1.8189894035458565e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.951563910473908e-18,,,,
,,,,Rural/Urban,,,,,,,,,,,,,,,,,,,,
,,,,Geography Range,Number of Loans,"Total Principal Outstanding 
(In Crs)",Principal without overdues (In Crs),No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365,,,,,
,,,,Rural,292164,1187.7817897012994,1165.9605599812994,6888,0,0,21.821229719999995,9.763128379999998,6.030719755000001,4.429350381999999,1.387919469,0.092650463,0.003147505,0.114313766,0,,,,,
,,,,Urban,106431,604.9073483867,598.2807323067001,1185,0,0,6.62661608,1.587025941,2.7733342959999994,1.34677947,0.591714562,0.202427207,0.036918051,0.088416553,0,,,,,
,,,,Total,398595,1792.6891380879995,1764.2412922879994,8073,0,0,28.447845799999996,11.350154320999998,8.804054051,5.776129851999999,1.9796340310000002,0.29507767,0.040065556,0.202730319,0,,,,,
Loan productwise break-up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Loan product,Number of Loans,"Total Principal Outstanding 
(In Crs)",Principal without overdues (In Crs),No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,,,
1,Gold Loans,112430,1064.4776864859,1059.0649269859,496,0,0,5.4127595,0,3.849192,1.5635675,0,0,0,0,0,5.4127595,0.005084897099035337,0,0,,,,
2,Group Loans,230483,676.247198404049,652.511850205049,8277,0,0,23.73534819899999,12.384860981000001,4.987533385,4.32815023099999,2.030169512,0.003754918,0.0008791719999999999,0,0,23.73534819899999,0.03509862703315545,2.0348036019999998,0.003008964187655282,,,,
