Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Portfolio Cuts as on 29th Feb 2024,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Branchwise,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification,Number of Loans,"Total Principal Outstanding 
(In Crs)",Principal without overdues (In Crs),No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365
65,APKL0013,Bhimadole_KL,Eluru,Andhra Pradesh,Rural,1149,5.40727,5.40727,0,0,0,0,0,0,0,0,0,0,0,0
66,APKL0003,Bhimavaram_KL,West Godavari,Andhra Pradesh,Rural,1040,6.2585493,6.2585493,0,0,0,0,0,0,0,0,0,0,0,0
67,ORJLG0333,Buguda_JLG,Ganjam,Orissa,Rural,259,1.369592,1.369592,0,0,0,0,0,0,0,0,0,0,0,0
68,APKL0106,Chagallu_KL,East Godavari,Andhra Pradesh,Rural,795,2.7426782,2.7426782,0,0,0,0,0,0,0,0,0,0,0,0
69,APJLG0306,Chandole_JLG,Bapatla,Andhra Pradesh,Rural,970,3.15450181900001,3.1489540280000097,2,0,0,0.005547791,0.002448172,0.003099619,0,0,0,0,0,0
70,APJLG0305,Chebrolu_JLG,Guntur,Andhra Pradesh,Rural,1604,5.998693317,5.998693317,0,0,0,0,0,0,0,0,0,0,0,0
71,APKL0028,Cherukupalli_KL,Bapatla,Andhra Pradesh,Rural,2069,7.3652675,7.3652675,0,0,0,0,0,0,0,0,0,0,0,0
72,APKL0004,Chimakurthi_KL,Prakasam,Andhra Pradesh,Rural,1134,4.484238958,4.484238958,0,0,0,0,0,0,0,0,0,0,0,0
73,APJLG0281,Cumbum_JLG,Prakasam,Andhra Pradesh,Rural,1157,5.56017277399999,5.56017277399999,0,0,0,0,0,0,0,0,0,0,0,0
74,APKL0016,Dharmavaram_KL,Sri Sathya Sai,Andhra Pradesh,Rural,963,6.1901099,6.1901099,0,0,0,0,0,0,0,0,0,0,0,0
75,APKL0060,Dhone_KL,Nandyal,Andhra Pradesh,Rural,477,3.0852475,3.0852475,0,0,0,0,0,0,0,0,0,0,0,0
76,ORJLG0296,Digapahandi_JLG,Ganjam,Orissa,Rural,1062,5.28488193699999,5.28488193699999,0,0,0,0,0,0,0,0,0,0,0,0
77,APJLG0285,Dwaraka Tirumala_JLG,Eluru,Andhra Pradesh,Rural,1331,6.04455768500001,6.04455768500001,0,0,0,0,0,0,0,0,0,0,0,0
78,APKL0156,Gokavaram_KL,East Godavari,Andhra Pradesh,Rural,463,1.541247,1.541247,0,0,0,0,0,0,0,0,0,0,0,0
79,APKL0172,Gooty_KL,Anantapur,Andhra Pradesh,Rural,877,6.6596378,6.6596378,0,0,0,0,0,0,0,0,0,0,0,0
80,APKL0104,Gudivada_KL,Krishna,Andhra Pradesh,Rural,648,3.5273193,3.5273193,0,0,0,0,0,0,0,0,0,0,0,0
81,APKL0001,Gunadala_KL,Krishna,Andhra Pradesh,Urban,673,3.3189399,3.3189399,0,0,0,0,0,0,0,0,0,0,0,0
82,APKL0179,Guntakal_KL,Anantapur,Andhra Pradesh,Rural,2043,13.7513746,13.7513746,0,0,0,0,0,0,0,0,0,0,0,0
83,APKL0238,Hindupur_2,Sri Sathya Sai,Andhra Pradesh,Urban,1138,6.5472911,6.5472911,0,0,0,0,0,0,0,0,0,0,0,0
84,APMP0129,Hindupur_LH,Sri Sathya Sai,Andhra Pradesh,Rural,577,4.002083921000009,3.9320856590000095,10,0,0,0.06999826199999999,0.025018827,0.026387597999999998,0.007531878,0.011059959,0,0,0,0
85,ORJLG0336,Jagannath Prasad_JLG,Ganjam,Orissa,Rural,292,1.528292,1.528292,0,0,0,0,0,0,0,0,0,0,0,0
86,APJLG0203,Jaggaiahpet_JLG,NTR,Andhra Pradesh,Rural,3145,13.485321474000001,13.485321474000001,0,0,0,0,0,0,0,0,0,0,0,0
87,APMP0098,Kadiyam_LH(Rajahmundry),East Godavari,Andhra Pradesh,Urban,442,4.399269311,4.336020883000001,6,0,0,0.06324842800000001,0.039852138,0.005138914,0.0039789330000000005,0.00456936,0,0,0.009709083,0
88,APKL0025,Kothapeta_KL,Guntur,Andhra Pradesh,Urban,1298,5.897801735,5.897801735,0,0,0,0,0,0,0,0,0,0,0,0
89,APKL0134,Akkayyapalem_KL,Visakhapatnam,Andhra Pradesh,Urban,287,1.2800034,1.2800034,0,0,0,0,0,0,0,0,0,0,0,0
90,APKL0063,Amaravathi_KL,Palnadu,Andhra Pradesh,Urban,684,2.2063156,2.2063156,0,0,0,0,0,0,0,0,0,0,0,0
91,APMP0157,Anakapalle_LH,Anakapalle,Andhra Pradesh,Urban,150,1.73484947,1.73484947,0,0,0,0,0,0,0,0,0,0,0,0
92,APKL0174,Anakapalli_KL,Anakapalle,Andhra Pradesh,Urban,379,1.6410642,1.6410642,0,0,0,0,0,0,0,0,0,0,0,0
93,APMP0130,Anantapur_LH,Anantapur,Andhra Pradesh,Urban,388,2.171467173,2.1129886179999997,12,0,0,0.058478554999999995,0.017543937,0.011555909,0.016217156,0.008913143,0.00424841,0,0,0
94,KAMP0176,Bangarpet_LH,Kolar,Karnataka,Rural,257,2.870417963,2.85457651,2,0,0,0.015841453,0.008478645,0,0,0,0.007362808,0,0,0
95,APKL0011,Bangaruplayam_KL,Chittoor,Andhra Pradesh,Rural,928,4.8353661,4.8353661,0,0,0,0,0,0,0,0,0,0,0,0
96,APJLG0327,Bantumilli_JLG,Krishna,Andhra Pradesh,Rural,813,3.2690180559999997,3.215530307,15,0,0,0.053487749,0.026560446,0.0068475559999999994,0,0,0.020079747,0,0,0
97,APKL0053,Bobbili_KL,Vizianagaram,Andhra Pradesh,Rural,1046,5.9282438,5.9282438,0,0,0,0,0,0,0,0,0,0,0,0
98,ORJLG0290,Chatrapur_JLG,Ganjam,Orissa,Rural,1223,6.08397390299998,6.08397390299998,0,0,0,0,0,0,0,0,0,0,0,0
99,APKL0078,Chennekothapalli_KL,Sri Sathya Sai,Andhra Pradesh,Rural,1352,4.7330909,4.7330909,0,0,0,0,0,0,0,0,0,0,0,0
100,APJLG0228,Cherukupalli_JLG,Bapatla,Andhra Pradesh,rural,2469,7.848142678,7.8151409990000005,10,0,0,0.033001679,0.015524814999999999,0.010203657000000001,0.0034297150000000003,0,0.003843492,0,0,0
101,APKL0026,Chilakaluripet_KL,Palnadu,Andhra Pradesh,Rural,2218,6.2859096,6.2859096,0,0,0,0,0,0,0,0,0,0,0,0
102,APJLG0286,Chintalapudi_JLG,Eluru,Andhra Pradesh,Rural,1910,9.02971104999997,9.02971104999997,0,0,0,0,0,0,0,0,0,0,0,0
103,APJLG0272,Chodavaram_JLG,Anakapalle,Andhra Pradesh,Rural,1203,5.76548789100001,5.76548789100001,0,0,0,0,0,0,0,0,0,0,0,0
104,APMP0248,Cumbum_LH,Prakasam,Andhra Pradesh,Rural,297,3.042523103,3.042523103,0,0,0,0,0,0,0,0,0,0,0,0
105,APKL0046,Darsi_KL,Prakasam,Andhra Pradesh,Rural,952,4.0817196,4.0817196,0,0,0,0,0,0,0,0,0,0,0,0
106,APKL0175,Gajuwaka_KL,Visakhapatnam,Andhra Pradesh,Urban,378,1.8471713,1.8471713,0,0,0,0,0,0,0,0,0,0,0,0
107,APKL0213,Gopalapatnam_KL,Visakhapatnam,Andhra Pradesh,Rural,312,1.9162711,1.9162711,0,0,0,0,0,0,0,0,0,0,0,0
108,APKL0068,Hindupur_KL,Sri Sathya Sai,Andhra Pradesh,Rural,1785,8.4315485,8.4315485,0,0,0,0,0,0,0,0,0,0,0,0
109,ORJLG0334,Hinjilicut_JLG,Ganjam,Orissa,Rural,314,1.6513496,1.6513496,0,0,0,0,0,0,0,0,0,0,0,0
110,TSMP0312,Hyderabad_LH,Hyderabad,Telangana,Urban,2,1.8506898739999997,1.8506898739999997,0,0,0,0,0,0,0,0,0,0,0,0
111,APKL0024,Jangareddygudem_KL,Eluru,Andhra Pradesh,Rural,742,3.9882669,3.9882669,0,0,0,0,0,0,0,0,0,0,0,0
112,APMP0256,Jangareddygudem_LH,Eluru,Andhra Pradesh,Rural,251,3.846280629,3.846280629,0,0,0,0,0,0,0,0,0,0,0,0
113,APJLG0185,Kaikalur_JLG,Eluru,Andhra Pradesh,Rural,2942,10.754116456,10.754116456,0,0,0,0,0,0,0,0,0,0,0,0
114,APKL0039,Kathipudi_KL,Kakinada,Andhra Pradesh,Rural,820,3.6196005,3.6196005,0,0,0,0,0,0,0,0,0,0,0,0
115,APKL0105,Komarolu_KL,Prakasam,Andhra Pradesh,Rural,1075,4.1498159,4.1498159,0,0,0,0,0,0,0,0,0,0,0,0
116,APJLG0304,Korukonda_JLG,East Godavari,Andhra Pradesh,Rural,3678,9.36782169200003,9.36190148400003,2,0,0,0.005920208,0.005288,0.000632208,0,0,0,0,0,0
117,APKL0007,Koyyalagudem_KL,Eluru,Andhra Pradesh,Rural,1354,7.0874156,7.0874156,0,0,0,0,0,0,0,0,0,0,0,0
118,APJLG0323,Kuchipudi_JLG,Krishna,Andhra Pradesh,Rural,1529,5.570088506,5.560099686,3,0,0,0.009988819999999999,0,0.0025946479999999997,0.0035507309999999997,0,0.0038434410000000004,0,0,0
119,APKL0037,Karlapalem_KL,Bapatla,Andhra Pradesh,Rural,1627,6.9027806,6.9027806,0,0,0,0,0,0,0,0,0,0,0,0
120,APKL0182,Kondapalli_KL,NTR,Andhra Pradesh,Rural,1435,5.1815107,5.1815107,0,0,0,0,0,0,0,0,0,0,0,0
121,APKL0119,Kota_KL,Tirupati,Andhra Pradesh,Rural,1253,5.1628085,5.1628085,0,0,0,0,0,0,0,0,0,0,0,0
122,APJLG0273,Kotananduru_JLG,Kakinada,Andhra Pradesh,Rural,1217,5.722894965999999,5.722894965999999,0,0,0,0,0,0,0,0,0,0,0,0
123,TSJLG0284,Kothagudem_JLG,Bhadradri Kothagudem,Telangana,Rural,1557,7.67494638999999,7.67494638999999,0,0,0,0,0,0,0,0,0,0,0,0
124,APJLG0196,Koyyalagudem_JLG,Eluru,Andhra Pradesh,Rural,1817,7.508465918999989,7.508465918999989,0,0,0,0,0,0,0,0,0,0,0,0
125,APMP0128,Madanapalle_LH,Annamayya,Andhra Pradesh,Rural,757,5.59182137,5.31941902,35,0,0,0.27240235,0.176680197,0.036085482,0.057907648,0.0017290229999999999,0,0,0,0
126,TSJLG0199,Madhira_JLG,Khammam,Telangana,rural,2980,10.818580107999999,10.818580107999999,0,0,0,0,0,0,0,0,0,0,0,0
127,APKL0034,Mandapet_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,940,3.57465,3.57465,0,0,0,0,0,0,0,0,0,0,0,0
128,APJLG0237,Mylavaram_JLG,NTR,Andhra Pradesh,Rural,2711,10.58360744,10.58360744,0,0,0,0,0,0,0,0,0,0,0,0
129,APKL0215,Naidupet_KL,Tirupati,Andhra Pradesh,Rural,868,5.2048875,5.2048875,0,0,0,0,0,0,0,0,0,0,0,0
130,APKL0032,Narasaraopet_KL,Palnadu,Andhra Pradesh,Rural,680,2.3134563,2.3134563,0,0,0,0,0,0,0,0,0,0,0,0
131,APMP0096,Narsipatnam_LH,Anakapalle,Andhra Pradesh,Rural,388,4.204055392,4.198888693,1,0,0,0.005166698999999999,0,0,0.005166698999999999,0,0,0,0,0
132,APKL0122,Nellore_KL,Nellore,Andhra Pradesh,Urban,783,4.5940475,4.5940475,0,0,0,0,0,0,0,0,0,0,0,0
133,APKL0080,Obula Devara Cheruvu_KL,Sri Sathya Sai,Andhra Pradesh,Rural,1406,4.0378827,4.0378827,0,0,0,0,0,0,0,0,0,0,0,0
134,APKL0113,Ongole_KL,Prakasam,Andhra Pradesh,Rural,777,4.226624,4.226624,0,0,0,0,0,0,0,0,0,0,0,0
135,APKL0101,Palasa_KL,Srikakulam,Andhra Pradesh,Rural,1157,9.5643818,9.5643818,0,0,0,0,0,0,0,0,0,0,0,0
136,APKL0120,Pamidi_KL,Anantapur,Andhra Pradesh,Rural,780,4.5524659,4.5524659,0,0,0,0,0,0,0,0,0,0,0,0
137,APKL0247,Pathapatnam_KL,Srikakulam,Andhra Pradesh,Rural,131,1.0509923,1.0509923,0,0,0,0,0,0,0,0,0,0,0,0
138,APKL0170,Pattikonda_KL,Kurnool,Andhra Pradesh,Rural,807,6.0123632,6.0123632,0,0,0,0,0,0,0,0,0,0,0,0
139,KAKL0210,Pavagada_KL,Tumkur,Karnataka,Rural,406,2.8906697,2.8906697,0,0,0,0,0,0,0,0,0,0,0,0
140,APJLG0229,Pedanandipadu_JLG,Guntur,Andhra Pradesh,Rural,3539,10.917744755500001,10.8983207975,6,0,0,0.019423958,0.009571858,0.0098521,0,0,0,0,0,0
141,APJLG0319,Phirangipuram_JLG,Guntur,Andhra Pradesh,Rural,684,2.80088537,2.80088537,0,0,0,0,0,0,0,0,0,0,0,0
142,APJLG0241,Pithapuram_JLG,Kakinada,Andhra Pradesh,Rural,3802,12.2201735949999,12.2201735949999,0,0,0,0,0,0,0,0,0,0,0,0
143,APJLG0278,Podili_JLG,Prakasam,Andhra Pradesh,Rural,1818,7.741077070000011,7.737525916000011,1,0,0,0.003551154,0.003551154,0,0,0,0,0,0,0
144,APKL0073,Podili_KL,Prakasam,Andhra Pradesh,Rural,1374,5.6407021,5.6407021,0,0,0,0,0,0,0,0,0,0,0,0
145,APMP0232,Podili_LH,Prakasam,Andhra Pradesh,Rural,368,4.939955005,4.939955005,0,0,0,0,0,0,0,0,0,0,0,0
146,APJLG0226,Ponnur_JLG,Guntur,Andhra Pradesh,Rural,2167,6.43946186200003,6.43470464600003,2,0,0,0.004757216,0.002191661,0.0025655549999999997,0,0,0,0,0,0
147,APKL0054,Ponnur_KL,Guntur,Andhra Pradesh,Rural,761,3.5840203,3.5840203,0,0,0,0,0,0,0,0,0,0,0,0
148,APMP0161,Ponnur_LH,Guntur,Andhra Pradesh,Rural,292,2.9866081739999997,2.9866081739999997,0,0,0,0,0,0,0,0,0,0,0,0
149,APJLG0291,Madanapalle_JLG,Annamayya,Andhra Pradesh,Rural,1228,6.0882845329999995,6.0882845329999995,0,0,0,0,0,0,0,0,0,0,0,0
150,APKL0010,Madanapalle_KL,Annamayya,Andhra Pradesh,Rural,911,7.1532272,7.1532272,0,0,0,0,0,0,0,0,0,0,0,0
151,KAMP0165,Madhugiri_LH,Tumkur,Karnataka,Rural,260,2.115157361,2.115157361,0,0,0,0,0,0,0,0,0,0,0,0
152,APJLG0280,Markapuram_JLG,Prakasam,Andhra Pradesh,Rural,1730,8.41099775999999,8.41099775999999,0,0,0,0,0,0,0,0,0,0,0,0
153,APKL0154,Markapuram_KL,Prakasam,Andhra Pradesh,Urban,927,3.4437327,3.4437327,0,0,0,0,0,0,0,0,0,0,0,0
154,KAMP0178,Mulbagal_LH,Kolar,Karnataka,Rural,367,3.3494371739999997,3.2937009249999996,7,0,0,0.055736249,0.040585958,0.006270591000000001,0,0.0088797,0,0,0,0
155,APJLG0268,Mundlamuru_JLG,Prakasam,Andhra Pradesh,Rural,2368,9.38384710500001,9.38384710500001,0,0,0,0,0,0,0,0,0,0,0,0
156,APKL0021,Mydukur_KL,Kadapa,Andhra Pradesh,Rural,1200,6.3154995,6.3154995,0,0,0,0,0,0,0,0,0,0,0,0
