Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 31 Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
26,APJLG0356,Piler_JLG,Annamayya,Andhra Pradesh,Rural,1499,6.5028011520000195,6.5028011520000195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,APJLG0401,Rayachoti_JLG,Annamayya,Andhra Pradesh,Rural,288,1.186206206,1.186206206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,APKL0009,Rayachoti_KL,Annamayya,Andhra Pradesh,Rural,1182,6.1900518,6.1730468,2,0,0,0.017005,0,0.017005,0,0,0,0,0,0,0.017005,0.0027471498703774983,0,0
29,APKL0010,Madanapalle_KL,Annamayya,Andhra Pradesh,Rural,1224,11.2554713,11.1644887,6,0,0,0.0909826,0,0.0909826,0,0,0,0,0,0,0.0909826,0.008083410954101939,0,0
30,APKL0018,Kalikiri_KL,Annamayya,Andhra Pradesh,Rural,376,1.564683,1.5570563,3,0,0,0.0076267,0,0.0076267,0,0,0,0,0,0,0.0076267,0.004874278048652666,0,0
31,APKL0047,Piler_KL,Annamayya,Andhra Pradesh,Rural,762,3.8659336,3.809557,5,0,0,0.0563766,0,0.0563766,0,0,0,0,0,0,0.0563766,0.014582919892881761,0,0
32,APKL0082,B Kothakota_KL,Annamayya,Andhra Pradesh,Rural,1098,4.55828,4.5276844,3,0,0,0.0305956,0,0.0305956,0,0,0,0,0,0,0.0305956,0.006712093157945541,0,0
33,APKL0085,T Sundupalle_KL,Annamayya,Andhra Pradesh,Rural,2013,11.9365751609,11.9365751609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,APMP0128,Madanapalle_LH,Annamayya,Andhra Pradesh,Rural,605,3.204769761,2.920142963,38,0,0,0.28462679799999996,0.094745995,0.13771889399999998,0.030159215000000003,0.022002694,0,0,0,0,0.28462679799999996,0.08881349339466635,0.022002694,0.006865608340342799
35,APJLG0225,Bapatla_JLG,Bapatla,Andhra Pradesh,Urban,3687,8.19530664499998,8.072192075999979,61,0,0,0.123114569,0.09229994799999999,0.021703031,0.00911159,0,0,0,0,0,0.123114569,0.015022570153017173,0,0
36,APJLG0228,Cherukupalli_JLG,Bapatla,Andhra Pradesh,rural,2766,5.769196683,5.56954604,114,0,0,0.199650643,0.027212761,0.119826633,0.052611249,0,0,0,0,0,0.199650643,0.03460631591713754,0,0
37,APJLG0270,Repalle_JLG,Bapatla,Andhra Pradesh,Rural,2897,7.96239176870001,7.21998265770001,253,0,0,0.742409111,0.106465748,0.469830459,0.166112904,0,0,0,0,0,0.742409111,0.09323946027353165,0,0
38,APJLG0306,Chandole_JLG,Bapatla,Andhra Pradesh,Rural,1839,4.670415348,4.6237447419999995,23,0,0,0.046670606,0.032213138,0.014457468,0,0,0,0,0,0,0.046670606,0.009992817024290064,0,0
39,APJLG0332,Martur_JLG,Bapatla,Andhra Pradesh,Rural,2238,7.13855013699999,7.109206141999991,10,0,0,0.029343995000000005,0.026908439000000003,0,0.002435556,0,0,0,0,0,0.029343995000000005,0.004110637935833278,0,0
40,APJLG0455,Vetapalem_JLG,Bapatla,Andhra Pradesh,Rural,1605,4.640900545,4.637930672,2,0,0,0.002969873,0.001343805,0.001626068,0,0,0,0,0,0,0.002969873,0.0006399346357895287,0,0
41,APKL0028,Cherukupalli_KL,Bapatla,Andhra Pradesh,Rural,2088,9.0986395,9.0986395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,APKL0033,Addanki_KL,Bapatla,Andhra Pradesh,Urban,1861,9.65296,9.65296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,APKL0036,Repalle_KL,Bapatla,Andhra Pradesh,Rural,1309,5.2812101,5.235971,9,0,0,0.0452391,0,0.0452391,0,0,0,0,0,0,0.0452391,0.00856604814869986,0,0
44,APKL0037,Karlapalem_KL,Bapatla,Andhra Pradesh,Rural,2054,10.8566343,10.8566343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,APKL0040,Kolluru_KL,Bapatla,Andhra Pradesh,Rural,1395,6.2078942,6.2078942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,APKL0092,Medarametla_KL,Bapatla,Andhra Pradesh,Rural,1100,4.243149,4.243149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,APKL0155,Chirala_KL,Bapatla,Andhra Pradesh,Rural,1456,8.064804,8.026280700000001,4,0,0,0.0385233,0,0.0385233,0,0,0,0,0,0,0.0385233,0.004776718690249633,0,0
48,APKL0207,Vetapalem_KL,Bapatla,Andhra Pradesh,Rural,1939,8.6906395,8.6906395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,APMP0158,Bapatla_LH,Bapatla,Andhra Pradesh,Urban,563,7.733146534,7.545387879000001,14,0,0,0.187758655,0.080548623,0.05360571,0,0,0,0,0.053604321999999996,0,0.187758655,0.024279722901213552,0.053604321999999996,0.006931760799348639
50,APMP0159,Repalle_LH,Bapatla,Andhra Pradesh,Rural,361,5.715201931,5.710355445,2,0,0,0.004846486,0.001801452,0.003045034,0,0,0,0,0,0,0.004846486,0.0008479990835865358,0,0
51,APMP0258,Addanki_LH,Bapatla,Andhra Pradesh,Rural,38,3.231023464,3.231023464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,APJLG0292,Palamaner_JLG,Chittoor,Andhra Pradesh,Rural,2672,10.081505514,10.081505514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,APJLG0293,Venkatagirikota_JLG,Chittoor,Andhra Pradesh,Rural,1740,7.189063070000011,7.175864130000011,3,0,0,0.01319894,0.01319894,0,0,0,0,0,0,0,0.01319894,0.001835974990270878,0,0
54,APJLG0294,Punganur_JLG,Chittoor,Andhra Pradesh,Rural,2955,11.562574209000001,11.549944658000001,3,0,0,0.012629551,0.012629551,0,0,0,0,0,0,0,0.012629551,0.001092278481565938,0,0
55,APJLG0295,Puthalapattu_JLG,Chittoor,Andhra Pradesh,Rural,1757,7.31480349800001,7.31059363600001,1,0,0,0.004209862,0.004209862,0,0,0,0,0,0,0,0.004209862,0.000575526328376565,0,0
56,APJLG0298,Kuppam_JLG,Chittoor,Andhra Pradesh,Rural,1668,6.57651887200002,6.57211917800002,1,0,0,0.004399694,0.004399694,0,0,0,0,0,0,0,0.004399694,0.0006690004371054113,0,0
57,APJLG0348,Puttur_JLG,Chittoor,Andhra Pradesh,Rural,1413,6.13634901400001,6.13634901400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,APKL0006,Chittoor_KL,Chittoor,Andhra Pradesh,Urban,1635,9.0243682,9.0243682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,APKL0008,Punganur_KL,Chittoor,Andhra Pradesh,Rural,1591,6.8307291,6.8104595,4,0,0,0.0202696,0,0.0202696,0,0,0,0,0,0,0.0202696,0.0029674138299526473,0,0
60,APKL0011,Bangarupalyam_KL,Chittoor,Andhra Pradesh,Rural,1106,5.228546,4.8922028,26,0,0,0.3363432,0,0.3363432,0,0,0,0,0,0,0.3363432,0.06432824727945399,0,0
61,APKL0015,Venkatagirikota_KL,Chittoor,Andhra Pradesh,Rural,806,5.2969486,5.078514500000001,18,0,0,0.2184341,0,0.2184341,0,0,0,0,0,0,0.2184341,0.04123772316763655,0,0
62,APKL0017,Palamaner_KL,Chittoor,Andhra Pradesh,Rural,941,3.4856862,3.3534452,22,0,0,0.132241,0,0.132241,0,0,0,0,0,0,0.132241,0.03793829748644614,0,0
63,APMP0126,Palamaner_LH,Chittoor,Andhra Pradesh,Rural,480,3.287897015,3.100950746,39,0,0,0.18694626899999997,0.08061771,0.018137389,0.0637227,0.024468470000000003,0,0,0,0,0.18694626899999997,0.056858918678753076,0.024468470000000003,0.0074419818772821274
64,APMP0127,Chittoor_LH,Chittoor,Andhra Pradesh,Urban,470,3.547301411,3.250123211,47,0,0,0.2971782,0.089169897,0.09085352099999999,0.080893272,0.03626151,0,0,0,0,0.2971782,0.08377585256174332,0.03626151,0.01022228048836079
65,APMP0163,Venkatagirikota_LH,Chittoor,Andhra Pradesh,Rural,351,5.047551608,5.013480474,5,0,0,0.034071133999999996,0.005655217,0.009373944,0.013047501,0.005994472,0,0,0,0,0.034071133999999996,0.006750031826519563,0.005994472,0.001187599942613603
66,APKL0034,Mandapeta_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,1063,4.3096354,4.2141699,9,0,0,0.0954655,0,0.0954655,0,0,0,0,0,0,0.0954655,0.022151641876711887,0,0
67,APKL0035,Mummadivaram_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,1239,5.5447723,5.5447723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,APKL0051,Amalapuram_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,1057,4.9472096,4.9442594,1,0,0,0.0029502,0,0.0029502,0,0,0,0,0,0,0.0029502,0.0005963361649362906,0,0
