Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 30 Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
24,APKL0040,Kolluru_KL,Bapatla,Andhra Pradesh,Rural,1318,6.0658852,6.0658852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,APJLG0274,Kothavalasa_JLG,Vizianagaram,Andhra Pradesh,Rural,1044,4.89922078499999,4.89922078499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,APKL0107,Kotturu_KL,Srikakulam,Andhra Pradesh,Rural,1201,9.1153116,9.1153116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,APKL0137,Kovur_KL,Nellore,Andhra Pradesh,Rural,1067,6.2062511,6.2062511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,APKL0109,Krishnalanka_KL,Krishna,Andhra Pradesh,Rural,874,5.652539,5.652539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TSJLG0246,Mudigonda_JLG,Khammam,Telangana,Rural,3422,13.453219859999901,13.453219859999901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,APKL0079,Achampet_KL,Palnadu,Andhra Pradesh,Rural,809,3.1895477,3.1895477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,APKL0110,Ajit Singh Nagar_KL,Krishna,Andhra Pradesh,Urban,1155,8.4472183,8.4472183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,APKL0061,Allagadda_KL,Nandyal,Andhra Pradesh,Rural,1674,11.9723191,11.9723191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,APKL0051,Amalapuram_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,1058,5.361627,5.361627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,TSJLG0282,Aswaraopeta_JLG,Bhadradri Kothagudem,Telangana,Rural,2636,11.673008688,11.673008688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,APKL0082,B Kothakota_KL,Annamayya,Andhra Pradesh,Rural,1083,5.2957048,5.2957048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,APJLG0183,Challapalli_JLG,Krishna,Andhra Pradesh,rural,3105,8.81679096499999,8.564691644999991,96,0,0,0.25209932,0.122003196,0.047934278999999996,0.041292154,0.012422785,0.011607088,0.013017406,0.0038224120000000003,0,0.25209932,0.028593092543620295,0.040869691,0.004635438354185824
37,APKL0043,Challapalli_KL,Krishna,Andhra Pradesh,Rural,1310,6.4510875,6.4510875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,APJLG0227,Chilakaluripet_JLG,Palnadu,Andhra Pradesh,rural,3334,8.48862066400006,8.34342254200006,61,0,0,0.145198122,0.09678824200000001,0.02189266,0.023017004,0.0035002160000000004,0,0,0,0,0.145198122,0.017105031282146948,0.0035002160000000004,0.00041234213879344294
39,APMP0160,Chilakaluripet_LH,Palnadu,Andhra Pradesh,Urban,329,4.183726394,4.183726394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,APKL0155,Chirala_KL,Bapatla,Andhra Pradesh,Rural,1349,8.1396436,8.1396436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,APMP0127,Chittoor_LH,Chittoor,Andhra Pradesh,Urban,511,4.386318997,4.014688952,47,0,0,0.37163004499999996,0.123426923,0.112937174,0.069256226,0.033588448,0,0.017912729999999998,0.014508544,0,0.37163004499999996,0.08472481031456544,0.06600972199999999,0.015049001690289054
42,APKL0071,Cumbum_KL,Prakasam,Andhra Pradesh,Rural,851,5.3799666,5.3799666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,APKL0216,Giddalur_KL,Prakasam,Andhra Pradesh,Rural,811,6.1668387,6.1668387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,SRJLG0002,Gokavaram_JLG,East Godavari,Andhra Pradesh,Rural,4453,12.752828766,12.666057686,32,0,0,0.08677108,0.044019027,0.0042344,0,0.0247178,0,0,0.003034089,0.010765764,0.08677108,0.00680406532481156,0.038517653,0.0030203222913720096
45,APMP0143,Gokavaram_LH,East Godavari,Andhra Pradesh,Rural,535,7.30133416,7.30133416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,APKL0022,Gopalapuram_KL,East Godavari,Andhra Pradesh,Rural,1311,5.6875516,5.6875516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,APMP0277,Gudivada_LH,Krishna,Andhra Pradesh,Urban,198,2.42710783,2.42710783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,APMP0260,Guntakal_LH,Anantapur,Andhra Pradesh,Rural,305,4.101476159000001,4.101476159000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,TSKL0076,Hydershah kote(Sun City)_KL,Hyderabad,Telangana,Urban,1043,11.023144628,11.023144628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,APKL0168,Kadapa-2_KL,Kadapa,Andhra Pradesh,Urban,1326,10.6365452,10.6365452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,APKL0020,Kadapa_KL,Kadapa,Andhra Pradesh,Urban,1824,14.222892,14.222892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,APKL0041,Kadiri_KL,Sri Sathya Sai,Andhra Pradesh,Rural,1158,7.4159141,7.4159141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,APKL0115,Kakinada_KL,Kakinada,Andhra Pradesh,Urban,846,6.4211311,6.4211311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,APKL0018,Kalikiri_KL,Annamayya,Andhra Pradesh,Rural,419,1.8548792,1.8535658000000002,2,0,0,0.0013134,0,0.0013134,0,0,0,0,0,0,0.0013134,0.0007080784559986439,0,0
55,TSJLG0224,Kallur_JLG,Khammam,Telangana,Rural,2190,7.061934592000011,6.550147916000011,140,0,0,0.5117866759999999,0.396691311,0.11509536499999999,0,0,0,0,0,0,0.5117866759999999,0.0724711719335051,0,0
56,APMP0231,Kandukur_LH,Nellore,Andhra Pradesh,Rural,258,3.8663803119999995,3.8663803119999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,APJLG0265,Karapa_JLG,Kakinada,Andhra Pradesh,Rural,2184,8.245420694999979,8.240656132999979,1,0,0,0.004764562,0.004764562,0,0,0,0,0,0,0,0.004764562,0.0005778434086315607,0,0
58,APMP0258,Addanki_LH,Bapatla,Andhra Pradesh,Rural,28,2.230727243,2.230727243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,APMP0141,Amalapuram_LH,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,333,3.7036663020000002,3.592862105,17,0,0,0.11080419700000002,0.040525444,0.026402778000000002,0.006982416,0.007854917999999999,0,0,0.029038640999999997,0,0.11080419700000002,0.029917435310023784,0.03689355899999999,0.009961361524410897
60,APKL0056,Anantapur-2_KL,Anantapur,Andhra Pradesh,Urban,1348,10.3948548,10.3948548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,APKL0002,Badvel_KL,Kadapa,Andhra Pradesh,Rural,1145,8.1834193,8.1834193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,APJLG0287,Bapulapadu_JLG,Krishna,Andhra Pradesh,Rural,2659,9.766918294,9.463107345,93,0,0,0.303810949,0.216220536,0.053425931,0.016081862,0,0.01808262,0,0,0,0.303810949,0.031106121691080055,0.01808262,0.0018514150989784046
63,APKL0013,Bhimadole_KL,Eluru,Andhra Pradesh,Rural,1089,6.305308,6.305308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,APKL0003,Bhimavaram_KL,West Godavari,Andhra Pradesh,Rural,1344,10.3905182,10.3905182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,ORJLG0333,Buguda_JLG,Ganjam,Orissa,Rural,728,3.5620185429999998,3.347275431,41,0,0,0.214743112,0,0,0.10898311200000001,0.10576,0,0,0,0,0.214743112,0.06028691580564858,0.10576,0.029691030162613055
66,APKL0106,Chagallu_KL,East Godavari,Andhra Pradesh,Rural,1219,5.8037091,5.8037091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,APJLG0306,Chandole_JLG,Bapatla,Andhra Pradesh,Rural,1119,3.4582603520000004,3.4401561220000003,8,0,0,0.01810423,0.011741053,0.0037397879999999995,0.002623389,0,0,0,0,0,0.01810423,0.005235068548129947,0,0
68,APKL0028,Cherukupalli_KL,Bapatla,Andhra Pradesh,Rural,2055,9.0585683,9.0585683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,APKL0004,Chimakurthi_KL,Prakasam,Andhra Pradesh,Rural,1593,7.1667855,7.1667855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,APJLG0281,Cumbum_JLG,Prakasam,Andhra Pradesh,Rural,1565,6.79865202600001,6.79865202600001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,APKL0016,Dharmavaram_KL,Sri Sathya Sai,Andhra Pradesh,Rural,1244,8.4708143,8.4708143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,APKL0060,Dhone_KL,Nandyal,Andhra Pradesh,Rural,898,6.9185575,6.9185575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,ORJLG0296,Digapahandi_JLG,Ganjam,Orissa,Rural,1481,6.63853041100001,6.625905843000011,3,0,0,0.012624568,0.012624568,0,0,0,0,0,0,0,0.012624568,0.001901711255111697,0,0
74,APJLG0285,Dwaraka Tirumala_JLG,Eluru,Andhra Pradesh,Rural,1757,7.18376321699998,7.18376321699998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,APKL0156,Gokavaram_KL,East Godavari,Andhra Pradesh,Rural,651,2.9398214,2.9398214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,APKL0172,Gooty_KL,Anantapur,Andhra Pradesh,Rural,1184,10.6472023,10.6472023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,APKL0104,Gudivada_KL,Krishna,Andhra Pradesh,Rural,826,5.269397,5.269397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,APKL0001,Gunadala_KL,Krishna,Andhra Pradesh,Urban,1101,6.2177051,6.2177051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,APKL0179,Guntakal_KL,Anantapur,Andhra Pradesh,Rural,2813,21.0234623,21.0234623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,APKL0238,Hindupur_2,Sri Sathya Sai,Andhra Pradesh,Urban,1692,10.6849501,10.6849501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,APMP0129,Hindupur_LH,Sri Sathya Sai,Andhra Pradesh,Rural,561,3.739991126,3.542995497,28,0,0,0.196995629,0.09564009899999999,0.018060114999999998,0.014094935999999999,0.033697163,0.016911479000000004,0,0.018591837,0,0.196995629,0.052672753052944006,0.06920047900000001,0.018502845773864546
82,ORJLG0336,Jagannath Prasad_JLG,Ganjam,Orissa,Rural,848,4.03125979399999,4.03125979399999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
