Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 31 Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
SN,LTV,Number of Loans,"Total Principal Outstanding 
(In Crs)",Principal without overdues (In Crs),No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,,,
1,<50,1656,4.2326429,4.2326429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2,50-60,2056,7.9353046609,7.9353046609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,60-70,8424,160.657650086,159.22646945099999,34,0,0,1.4311806350000003,0.41840693500000004,0.487455057,0.24012643199999997,0.052301390999999996,0.065280212,0.079194055,0.08841655300000001,0,1.4311806350000003,0.008908263218302332,0.28519221100000003,0.0017751548765174688,,,,
4,70-75,95784,1019.1782084,1019.1782084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5,75-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6,80-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7,No LTV,300408,818.679531158103,808.752419033103,2948,0,0,9.927112124999999,4.335781463,2.5062712609999998,1.1211810119999999,0.8403734970000001,0.46203930499999996,0.244465552,0.381516471,0.035483564,9.927112124999999,0.012125760749089597,1.9638783890000002,0.0023988365584539538,,,,
,Total,408328,2010.6833372050032,1999.325044445003,2982,0,0,11.35829276,4.754188398,2.9937263179999998,1.361307444,0.892674888,0.527319517,0.323659607,0.46993302400000003,0.035483564,11.35829276,0.005648971446587336,2.2490706000000005,0.001118560321450902,,,,
,,0,3.183231456205249e-12,2.9558577807620168e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.540979117872439e-18,0,-1.734723475976807e-18,,,,
