Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Portfolio Cuts as on 30 Apr 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch,District,State,Branch Classification Rural / Urban,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Written off value in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,
SN,Ticket Size,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,,,,,
1,<50000,156316,264.3316621539,263.9879166979,136,0,0,0.343745456,0.2016893,0.067791168,0.032714635,0.024853869,0.008392021000000001,0.002898359,0.001936645,0.003469459,0.343745456,0.0013004323931495706,0.041550353000000005,0.00015719022330290658,,,,,,
2,50000 - 100000,153658,708.946639916689,707.786904769689,312,0,0,1.1597351470000001,0.595621336,0.185891845,0.183450632,0.08160700600000001,0.032335507,0.013475426,0.042011971,0.025341423999999998,1.1597351470000001,0.0016358567509908574,0.19477133400000002,0.0002747334186150996,,,,,,
3,100000-150000,15396,158.652924552,158.022662808,108,0,0,0.630261744,0.206812402,0.10938796299999999,0.145710386,0.096519394,0.056538666,0.007362808,0,0.007930125,0.630261744,0.0039725819475418854,0.168350993,0.0010611275743916172,,,,,,
4,150000-200000,8552,134.695799403,134.165786545,68,0,0,0.5300128580000001,0.149172849,0.089976508,0.133140277,0.051188665,0.07534867099999999,0.009925118,0.021260770000000002,0,0.5300128580000001,0.003934887801617631,0.15772322400000002,0.0011709587433243085,,,,,,
5,200000-300000,4994,113.82394604400001,113.68422431900001,15,0,0,0.139721725,0.014973120999999999,0.03951625,0.050467002000000004,0.026065676,0.008699676,0,0,0,0.139721725,0.0012275248737729483,0.034765352,0.0003054309150955023,,,,,,
6,300000-400000,2913,96.819672075,96.724590932,3,0,0,0.095081143,0.029508411,0,0,0.030760501000000003,0,0,0.034812231,0,0.095081143,0.0009820436380568065,0.065572732,0.0006772666194242529,,,,,,
7,400000-500000,1480,63.628534048,63.366734537999996,7,0,0,0.26179951,0.153683761,0,0.073596038,0,0.034519711,0,0,0,0.26179951,0.004114498533040288,0.034519711,0.0005425193510502548,,,,,,
8,500000-600000,1051,55.53544284400001,55.23888174100001,6,0,0,0.296561103,0.14204219199999998,0,0.046203363,0.054711226,0,0.053604321999999996,0,0,0.296561103,0.005340033099817807,0.108315548,0.0019503859599042037,,,,,,
9,600000-700000,568,35.770138085,35.709869196,1,0,0,0.060268889,0.060268889,0,0,0,0,0,0,0,0.060268889,0.0016848939430086632,0,0,,,,,,
10,700000-800000,366,26.733096365,26.733096365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11,800000-900000,234,19.422118685,19.264790229000003,2,0,0,0.157328456,0,0,0.078134401,0,0.079194055,0,0,0,0.157328456,0.00810047856012265,0.079194055,0.004077518847681781,,,,,,
12,900000-1000000,140,13.158132979000001,13.158132979000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
13,> 1000000,401,56.24071454,56.153057517,1,0,0,0.087657023,0,0.087657023,0,0,0,0,0,0,0.087657023,0.0015586043619281514,0,0,,,,,,
,Total,346069,1747.7588216905888,1743.9966486365888,659,0,0,3.762173054,1.5537722609999995,0.580220757,0.743416734,0.365706337,0.295028307,0.08726603299999999,0.10002161700000001,0.036741008,3.762173054,0.0021525699125700243,0.884763302,0.0005062273415643113,,,,,,
JLG Loans are more compared to other Loan products  and JLG Ticket Size is Rs.50K plus and hencehigher PAR is in this bracket,,0,-2.2737367544323206e-12,-2.0463630789890885e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
IRR (omitting processing fee) Break-up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
