Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
SN,State,District,mbri_code,mbri_name,No of Loans,No of OD Loans,Outstanding Princiapl,1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365
308,ANDHRA PRADESH,Prakasam,APJLG0278,Podili_JLG,2569,550,5.21316339199999,0.6109929269999991,0.362233737,0.190826,0.078457088,0,0,0,0
272,ANDHRA PRADESH,Prakasam,APJLG0280,Markapuram_JLG,2772,471,6.82715442000002,0.610677452,0.34278301299999997,0.261569526,0.175125048,0,0,0,0
250,ANDHRA PRADESH,Prakasam,APJLG0281,Cumbum_JLG,2022,127,4.98184655299998,0.14531986200000002,0.084400126,0.055040547999999995,0.08606085,0,0,0,0
148,ANDHRA PRADESH,Eluru,APJLG0285,Dwaraka Tirumala_JLG,2058,519,4.94952269599999,0.531843071,0.348395992,0.26703356,0.196039073,0,0,0,0
212,ANDHRA PRADESH,Eluru,APJLG0286,Chintalapudi_JLG,2359,935,5.774701444,0.837821983,0.714903716,0.540242838,0.492736869,0,0,0,0
53,ANDHRA PRADESH,Krishna,APJLG0287,Bapulapadu_JLG,2932,915,6.30925145299998,0.761792757,0.46813661500000003,0.5437827009999999,0.5822537980000001,0,0,0,0
145,ANDHRA PRADESH,Annamayya,APJLG0291,Madanapalle_JLG,2875,167,7.73016929499995,0.369796923,0.065170419,0.036902172999999996,0.027639209,0,0,0,0
46,ANDHRA PRADESH,Chittoor,APJLG0292,Palamaner_JLG,2631,657,7.185090934000001,1.04476064,0.47607773200000003,0.28751550099999995,0.173596431,0,0,0,0
64,ANDHRA PRADESH,Chittoor,APJLG0293,Venkatagirikota_JLG,1822,309,5.59606478300001,0.565404021000001,0.29495515299999997,0.137974177,0.054604056000000005,0,0,0,0
3,ANDHRA PRADESH,Chittoor,APJLG0294,Punganur_JLG,3209,751,9.33470210500001,1.1912584720000001,0.675789321,0.337132472,0.26254312999999996,0,0,0,0
209,ANDHRA PRADESH,Chittoor,APJLG0295,Puthalapattu_JLG,1831,613,5.84506841099999,0.8946605759999999,0.6135824049999999,0.46253950499999996,0.253041835,0,0,0,0
32,ANDHRA PRADESH,Chittoor,APJLG0298,Kuppam_JLG,1957,87,5.71789029199999,0.19036303999999998,0.05551209,0.035100941999999996,0,0,0,0,0
59,ANDHRA PRADESH,Bapatla,APJLG0306,Chandole_JLG,1515,291,2.778213785,0.255723595,0.17810476,0.127127245,0.040838169,0,0,0,0
169,ANDHRA PRADESH,West Godavari,APJLG0322,Devarapalli_JLG,1910,220,3.458018011,0.209479697,0.098092255,0.076482385,0.062170463,0,0,0,0
92,ANDHRA PRADESH,Krishna,APJLG0323,Kuchipudi_JLG,1910,491,4.149368272,0.42441872,0.289112102,0.263617092,0.31297671800000004,0,0,0,0
65,ANDHRA PRADESH,East Godavari,APJLG0324,Nallajerla_JLG,2199,348,4.5098325559999894,0.339079618,0.261750367,0.149395438,0.039942447,0,0,0,0
112,ANDHRA PRADESH,East Godavari,APJLG0325,Peddapuram_JLG,2088,51,4.347833616999989,0.030040017,0.031427129,0.038444794,0.008396086,0,0,0,0
254,ANDHRA PRADESH,West Godavari,APJLG0326,Denduluru_JLG,1629,426,3.60500187,0.257793132,0.24232112400000003,0.290929561,0.26662297999999995,0,0,0,0
4,ANDHRA PRADESH,Krishna,APJLG0327,Bantumilli_JLG,1082,99,2.111228616,0.079687377,0.047842584,0.035696609000000004,0.042281014,0,0,0,0
66,ANDHRA PRADESH,East Godavari,APJLG0330,Dwarapudi_JLG,1898,263,3.7169767700000005,0.23590038300000002,0.133602903,0.124925609,0.130360057,0,0,0,0
52,ANDHRA PRADESH,Guntur,APJLG0331,Perecherla_JLG,1702,84,3.7282189979999805,0.113840869,0.049240038,0.038269488,0.054300301,0,0,0,0
60,ANDHRA PRADESH,Bapatla,APJLG0332,Martur_JLG,1987,488,4.77057334299999,0.343999888,0.30979381899999997,0.316102357,0.220898767,0,0,0,0
266,ANDHRA PRADESH,Chittoor,APJLG0348,Puttur_JLG,1587,58,5.074389740000011,0.129749159,0.075938886,0,0,0,0,0,0
106,ANDHRA PRADESH,Anakapalli,APJLG0349,Narsipatnam_JLG,609,0,1.5889295449999998,0,0,0,0,0,0,0,0
172,ANDHRA PRADESH,Palnadu,APJLG0355,Rompicherla_JLG,911,0,2.75977485,0,0,0,0,0,0,0,0
222,ANDHRA PRADESH,Annamayya,APJLG0356,Piler_JLG,1677,88,5.3721351670000095,0.141515518,0.138924199,0.043978588,0,0,0,0,0
27,ANDHRA PRADESH,Tirupati,APJLG0357,Chandragiri_JLG,1410,8,4.51303962699999,0.028055844,0,0,0,0,0,0,0
